id,name,birthdate,deathdate
89,Ah-sung Ko,1992-08-10,NA
90,Ahmad Massad,NA,NA
91,Ahmed Best,1973-08-19,NA
92,Ahmed Hassan,NA,NA
93,Ahmet Ertegun,1923-07-31,2006-12-14
94,Ahna O'Reilly,1984-09-21,NA
95,Ahney Her,NA,NA
96,Aida Elkashef,NA,NA
97,Aida Folch,1986-11-24,NA
98,Aida Turturro,1962-09-25,NA
99,Aidan McArdle,NA,NA
100,Aidan Quinn,1959-03-08,NA
101,Aidan Turner,1983-06-19,NA
102,Aimee Garcia,1978-11-28,NA
103,Aimee Teegarden,1989-10-10,NA
104,Aisha Hinds,1975-11-13,NA
105,Aisha Tyler,1970-09-18,NA
106,Aitana Sánchez-Gijón,1968-11-05,NA
107,AJ Michalka,1991-04-10,NA
108,Ajay Naidu,1972-02-12,NA
109,Aki Aleong,1934-12-19,NA
110,Aki Kaurismäki,1957-04-04,NA
111,Akie Kotabe,1980-07-18,NA
112,Akima,NA,2014-07-27
113,Akira Kurosawa,1910-03-23,1998-09-06
114,Akira Terao,1947-05-18,NA
115,Akiva Goldsman,1962-07-07,NA
116,Akiva Schaffer,1977-12-01,NA
117,Akon,1973-04-16,NA
118,Aksel Hennie,1975-10-29,NA
119,Akshaye Khanna,1975-03-28,NA
120,Al Cliver,1951-07-16,NA
121,Al Franklin,NA,NA
122,Al Freeman Jr.,1931-03-21,2012-08-09
123,Al Gore,1948-03-31,NA
124,Al Leong,1952-09-30,NA
125,Al Pacino,1940-04-25,NA
126,Al Roker,1954-08-20,NA
127,Al Sapienza,1956-07-31,NA
128,Al Silliman Jr.,1941-04-07,NA
129,Alain Delon,1935-11-08,NA
130,Alain Resnais,1922-06-03,2014-03-01
131,Alan Alda,1936-01-28,NA
132,Alan Autry,1952-07-31,NA
133,Alan Bates,1934-02-17,2003-12-27
134,Alan Brent,NA,NA
135,Alan Cohn,1957-01-12,NA
136,Alan D. Purwin,1961-08-28,2015-09-11
137,Alan Dale,1947-05-06,NA
138,Alan David,1947-11-30,NA
139,Alan Ford,1938-02-23,NA
140,Alan Hale,1947-05-06,NA
141,Alan Hale Jr.,1921-03-08,1990-01-02
142,Alan J. Pakula,1928-04-07,1998-11-19
143,Alan Jacobs,NA,NA
144,Alan Metter,1933-08-19,NA
145,Alan Oppenheimer,1930-04-23,NA
146,Alan Parker,1944-02-14,NA
147,Alan Pietruszewski,NA,NA
148,Alan Poul,NA,NA
149,Alan Rickman,1946-02-21,2016-01-14
150,Alan Ruck,1956-07-01,NA
151,Alan Rudolph,1943-12-18,NA
152,Alan Shapiro,NA,NA
153,Alan Taylor,NA,NA
154,Alan Van Sprang,1971-06-19,NA
155,Alan Williams,NA,NA
156,Alan Young,1919-11-19,2016-05-19
157,Alan Yuen,NA,NA
158,Alana Kaniewski,NA,NA
159,Alanna Ubach,1975-10-03,NA
160,Alastair Duncan,NA,NA
161,Alba Rohrwacher,1979-02-27,NA
162,Albert Brooks,1947-07-22,NA
163,Albert Delpy,1941-09-13,NA
164,Albert Dupontel,1964-01-11,NA
165,Albert Finney,1936-05-09,NA
166,Albert Hughes,1972-04-01,NA
167,Albert Maysles,1926-11-26,2015-03-05
168,Albert Salmi,1928-03-11,1990-04-22
169,Alden Ehrenreich,1989-11-22,NA
170,Aldis Hodge,1986-09-20,NA
171,Aldo Sambrell,1931-02-23,2010-07-10
172,Alec Asten,NA,NA
173,Alejandro Agresti,1961-06-02,NA
174,Alejandro Amenábar,1972-03-31,NA
175,Alejandro Furth,NA,NA
176,Alejandro G. Iñárritu,1963-08-15,NA
177,Alejandro Monteverde,1977-07-13,NA
178,Aleksa Palladino,1980-09-21,NA
179,Aleksandr Bashirov,1955-09-24,NA
180,Aleksandr Veledinskiy,1959-07-27,NA
181,Aleksey Chadov,1981-09-02,NA
182,Aleksey German,1976-09-04,NA
183,Aleksey Serebryakov,1964-06-03,NA
184,Alessandra Mastronardi,1986-02-18,NA
185,Alessandro Carloni,NA,NA
186,Alessandro Nivola,1972-06-28,NA
187,Alessandro Preziosi,1973-04-19,NA
188,Álex Angulo,1953-04-12,2014-07-20
189,Alex Borstein,1973-02-15,NA
190,Alex Cox,1954-12-15,NA
191,Alex Craig Mann,NA,NA
192,Álex de la Iglesia,1965-12-04,NA
193,Alex Désert,1968-07-18,NA
194,Alex Emanuel,NA,NA
195,Alex Garland,1970-05-26,NA
196,Alex Gibney,1953-10-23,NA
197,Alex Huszar,NA,NA
198,Alex Jennings,1957-05-10,NA
199,Alex Karpovsky,NA,NA
200,Alex Kendrick,NA,NA
201,Alex Lawther,NA,NA
202,Alex Macqueen,NA,NA
203,Alex McArthur,1957-03-06,NA
204,Alex Meraz,1985-01-10,NA
205,Alex Pettyfer,1990-04-10,NA
206,Alex Proyas,1963-09-23,NA
207,Alex Ranarivelo,NA,NA
208,Alex Rivera,NA,NA
209,Alex Rocco,1936-02-29,2015-07-18
210,Alex Russell,1987-12-11,NA
211,Alex Sanborn,NA,NA
212,Alex Smith,NA,NA
213,Alex van Warmerdam,1952-08-14,NA
214,Alex Veadov,1962-04-15,NA
215,Alex Vincent,1981-04-29,NA
216,Alex Winter,NA,NA
217,Alex Zamm,NA,NA
218,Alexa Davalos,1982-05-28,NA
219,Alexa Havins,1980-11-16,NA
220,Alexa PenaVega,1988-08-27,NA
221,Alexander Gould,1994-05-04,NA
222,Alexander Payne,1961-02-10,NA
223,Alexander Skarsgård,1976-08-25,NA
224,Alexander Vlahos,NA,NA
225,Alexander Witt,NA,NA
226,Alexander Wraith,1979-06-29,NA
227,Alexandra Breckenridge,1982-05-15,NA
228,Alexandra Callas,NA,NA
229,Alexandra Holden,1977-04-30,NA
230,Alexandra Maria Lara,1978-11-12,NA
231,Alexandra Rapaport,1971-12-26,NA
232,Alexandra Silber,1983-07-03,NA
233,Alexandre Aja,1978-08-07,NA
234,Alexandre Rodrigues,1983-05-21,NA
235,Alexandru Potocean,1984-04-21,NA
236,Alexia Fast,1992-09-12,NA
237,Alexia Rasmussen,NA,NA
238,Alexis Arquette,1969-07-28,2016-09-11
239,Alexis Biesiada,NA,NA
240,Alexis Dziena,1984-07-08,NA
241,Alexis Kendra,NA,NA
242,Alfie Allen,1986-09-12,NA
243,Alfonso Cuarón,1961-11-28,NA
244,Alfre Woodard,1952-11-08,NA
245,Alfred Enoch,1988-12-02,NA
246,Alfred Hitchcock,1899-08-13,1980-04-29
247,Ali Daniels,1963-06-13,NA
248,Ali Hillis,1978-12-29,NA
249,Alia Shawkat,1989-04-18,NA
250,Alice Braga,1983-04-15,NA
251,Alice Cooper,1948-02-04,NA
252,Alice Englert,1994-06-15,NA
253,Alice Evans,NA,NA
254,Alice Greczyn,1986-02-06,NA
255,Alice Krige,1954-06-28,NA
256,Alice Olivia Clarke,NA,NA
257,Alice Playten,1947-08-28,2011-06-25
258,Alice Pol,NA,NA
259,Alice Wu,1970-04-21,NA
260,Alicia Goranson,1974-06-22,NA
261,Alicia Keys,1981-01-25,NA
262,Alicia Sixtos,1988-05-27,NA
263,Alicia Witt,1975-08-21,NA
264,Alicia Ziegler,1981-05-02,NA
265,Alicja Bachleda,1983-05-12,NA
266,Aliou Touré,NA,NA
267,Alisha Boe,1997-03-06,NA
268,Alison Brie,1982-12-29,NA
269,Alison Chand,NA,NA
270,Alison Doody,1966-11-11,NA
271,Alison Lohman,1979-09-18,NA
272,Alison Maclean,NA,NA
273,Alissa Dean,NA,NA
274,Alister Grierson,NA,NA
275,Alix Freihage,NA,NA
276,Allan Arkush,1948-04-30,NA
277,Allan Dwan,1885-04-03,1981-12-28
278,Allegra Carpenter,NA,NA
279,Allen Coulter,NA,NA
280,Allen Covert,1964-10-13,NA
281,Allen Hughes,1972-04-01,NA
282,Allen Leech,1981-05-18,NA
283,Allen Payne,1968-07-07,NA
284,Allison Anders,1954-11-16,NA
285,Allison Burnett,NA,NA
286,Allison Dean,NA,NA
287,Allison Miller,1985-09-02,NA
288,Allison Tolman,1981-11-18,NA
289,Ally Sheedy,1962-06-13,NA
290,Ally Walker,1961-08-25,NA
291,Alma Martinez,1953-03-18,NA
292,Alona Tal,1983-10-20,NA
293,Alonna Shaw,NA,NA
294,Alun Armstrong,1946-07-17,NA
295,Alycia Debnam-Carey,NA,NA
296,Alyson Hannigan,1974-03-24,NA
297,Alyson Stoner,1993-08-11,NA
298,Amal Al-Agroobi,NA,NA
299,Amanda Detmer,1971-09-27,NA
300,Amanda Gusack,NA,NA
301,Amanda Kearsan,NA,NA
302,Amanda MacDonald,NA,NA
303,Amanda Mealing,1967-04-22,NA
304,Amanda Plummer,1957-03-23,NA
305,Amanda Redman,1957-08-12,NA
306,Amanda Schull,1978-08-26,NA
307,Amanda Tilson,NA,NA
308,Amanda Troop,NA,NA
309,Amanda Wyss,1960-11-24,NA
310,Amat Escalante,1979-02-28,NA
311,Amber Armstrong,NA,NA
312,Amber Benson,1977-01-08,NA
313,Amber Marie Bollinger,NA,NA
314,Amber Marshall,1988-06-02,NA
315,Amber Rose Revah,1986-06-24,NA
316,Amber Stevens West,1986-10-07,NA
317,Amber Valletta,1974-02-09,NA
318,Amelia Giancarlo,NA,NA
319,Amelia Warner,1982-06-04,NA
320,America Ferrera,1984-04-18,NA
321,America Olivo,1978-01-05,NA
322,Ami Ayalon,NA,NA
323,Amiah Miller,NA,NA
324,Amidou,1935-08-02,2013-09-19
325,Amir Farrokh Hashemian,NA,NA
326,Amir Talai,1977-06-24,NA
327,Aml Ameen,1985-07-30,NA
328,Amos Oz,1939-05-04,NA
329,Amr Waked,1973-04-12,NA
330,Amrish Puri,1932-06-22,2005-01-12
331,Amy Badberg,NA,NA
332,Amy Brenneman,1964-06-22,NA
333,Amy Bruni,NA,NA
334,Amy Carson,NA,NA
335,Amy Hargreaves,1970-01-27,NA
336,Amy Heckerling,1952-05-07,NA
337,Amy Hill,1953-05-09,NA
338,Amy Holden Jones,NA,NA
339,Amy Irving,1953-09-10,NA
340,Amy Locane,1971-12-19,NA
341,Amy Lucas,NA,NA
342,Amy Madigan,1950-09-11,NA
343,Amy Poehler,1971-09-16,NA
344,Amy Ryan,1968-05-03,NA
345,Amy Schumer,1981-06-01,NA
346,Amy Sedaris,1961-03-29,NA
347,Amy Steel,1960-05-03,NA
348,Amy Stewart,NA,NA
349,Amy Warren,NA,NA
350,Amy Yasbeck,1962-09-12,NA
351,Ana Claudia Talancón,1980-05-01,NA
352,Ana de la Reguera,1977-04-08,NA
353,Ana Gasteyer,1967-05-04,NA
354,Ana Imnadze,NA,NA
355,Ana Maria Guran,1995-10-06,NA
356,Ana Vatamanu,NA,NA
357,Analeine Cal y Mayor,NA,NA
358,Anamaria Marinca,1978-04-01,NA
359,Anand Tucker,1963-06-24,NA
360,Anatoliy Solonitsyn,1934-08-30,1982-06-11
361,Anders Holm,NA,NA
362,Andre Braugher,1962-07-01,NA
363,André Dussollier,1946-02-17,NA
364,André Øvredal,NA,NA
365,André Ramiro,1981-01-14,NA
366,André Téchiné,NA,NA
367,André the Giant,1946-05-19,1993-01-27
368,André Wilms,NA,NA
369,Andrea Arnold,1961-04-05,NA
370,Andrea Corr,1960-12-12,NA
371,Andrea Di Stefano,1972-12-15,NA
372,Andrea Frankle,NA,NA
373,Andrea Martin,1947-01-15,NA
374,Andrea Ros,1993-05-03,NA
375,Andrea Savage,1973-02-20,NA
376,Andrea Vergara,1984-11-10,NA
377,Andrei Tarkovsky,1932-04-04,1986-12-29
378,Andrej Nahtigal,1942-09-04,NA
379,Andrés Couturier,1977-02-05,NA
380,Andrés Montiel,1975-01-30,NA
381,Andrés Muschietti,NA,NA
382,Andrew Adamson,1966-12-01,NA
383,Andrew Airlie,1961-09-18,NA
384,Andrew Berends,NA,NA
385,Andrew Bergman,1945-02-20,NA
386,Andrew Bryniarski,1969-02-13,NA
387,Andrew Bujalski,NA,NA
388,Andrew Currie,NA,NA
389,Andrew Daly,1971-04-15,NA
390,Andrew Davis,1946-11-21,NA
391,Andrew Dice Clay,1957-09-29,NA
392,Andrew Dominik,1967-10-07,NA
393,Andrew Douglas,NA,NA
394,Andrew Erwin,NA,NA
395,Andrew Fiscella,1966-05-25,NA
396,Andrew Fleming,1965-12-30,NA
397,Andrew Garfield,1983-08-20,NA
398,Andrew Haigh,NA,NA
399,Andrew Hyatt,1982-08-19,NA
400,Andrew Jarecki,NA,NA
401,Andrew Keegan,1979-01-29,NA
402,Andrew Keir,1926-04-03,1997-10-05
403,Andrew Lawrence,1966-08-11,NA
404,Andrew Leman,NA,NA
405,Andrew Morahan,NA,NA
406,Andrew Niccol,1964-06-10,NA
407,Andrew Rannells,1978-08-23,NA
408,Andrew Robinson,1942-02-14,NA
409,Andrew Simpson,NA,NA
410,Andrew Stanton,1965-12-03,NA
411,Andrew Steggall,NA,NA
412,Andrew Traucki,NA,NA
413,Andrew Wilson,NA,NA
414,Andrey Konchalovskiy,1937-08-20,NA
415,Andrey Zvyagintsev,1964-02-06,NA
416,Andrucha Waddington,NA,NA
417,Andrzej Bartkowiak,1950-03-06,NA
418,Andy Cadiff,NA,NA
419,Andy Cohn,NA,NA
420,Andy Davoli,1973-09-02,NA
421,Andy Dick,1965-12-21,NA
422,Andy Fickman,NA,NA
423,Andy Garcia,1956-04-12,NA
424,Andy Lau,1961-09-27,NA
425,Andy On,1977-05-11,NA
426,Andy Richter,1966-10-28,NA
427,Andy Tennant,1955-06-15,NA
428,Ane Dahl Torp,1975-08-01,NA
429,Anella Vastola,NA,NA
430,Ang Lee,1954-10-23,NA
431,Angel Coulby,1980-08-30,NA
432,Angel David,NA,NA
433,Angela Bettis,1973-01-09,NA
434,Angela Cartwright,1952-09-09,NA
435,Angela Featherstone,1965-04-03,NA
436,Angela Jones,NA,NA
437,Ángela Molina,1955-10-05,NA
438,Angela Nordeng,NA,NA
439,Angela Robinson,1971-02-14,NA
440,Angela Sarafyan,1983-06-30,NA
441,Angelica Lee,1976-01-23,NA
442,Angélica Sancio,NA,NA
443,Angeliki Papoulia,NA,NA
444,Angelina Armani,1987-11-18,NA
445,Angelina Jolie Pitt,1975-06-04,NA
446,Angell Conwell,1983-08-02,NA
447,Angelo Anthony Pizza,NA,NA
448,Angelo Pizzo,NA,NA
449,Angelo Rossitto,1908-02-18,1991-09-21
450,Angelo Tsarouchas,NA,NA
451,Angie Dickinson,1931-09-30,NA
452,Angus Barnett,NA,NA
453,Angus Macfadyen,1963-09-21,NA
454,Angus Sampson,1979-02-12,NA
455,Angus Scrimm,1926-08-19,2016-01-09
456,Angus T. Jones,1993-10-08,NA
457,Anika Noni Rose,1972-09-06,NA
458,Anil Kapoor,1956-12-24,NA
459,Anil Kumar,NA,NA
460,Anita Briem,1982-05-29,NA
461,Anita Mui,1963-10-10,2003-12-30
462,Anita Page,1910-08-04,2008-09-06
463,Anjelica Huston,1951-07-08,NA
464,Ann Dowd,1956-01-30,NA
465,Ann Gillis,1927-02-12,NA
466,Ann Miller,1923-04-12,2004-01-22
467,Ann Morgan Guilbert,1928-10-16,2016-06-14
468,Ann Talman,1957-09-13,NA
469,Ann-Margret,1941-04-28,NA
470,Anna Boden,NA,NA
471,Anna Friel,1976-07-12,NA
472,Anna Gunn,1968-08-11,NA
473,Anna Harr,NA,NA
474,Anna Karina,1940-09-22,NA
475,Anna Katarina,NA,NA
476,Anna Katharina Schwabroh,NA,NA
477,Anna Kendrick,1985-08-09,NA
478,Anna Madeley,NA,NA
479,Anna Mastro,NA,NA
480,Anna Muylaert,1964-04-21,NA
481,Anna Nakagawa,1965-08-30,2014-10-17
482,Anna Silk,1974-01-31,NA
483,Anna Vareschi,NA,NA
484,Anna-Louise Plowman,1972-05-09,NA
485,Annabel Jankel,1955-08-01,NA
486,Annabella Sciorra,1960-03-29,NA
487,Annabelle Wallis,NA,NA
488,Annabeth Gish,1971-03-13,NA
489,Anne Archer,1947-08-24,NA
490,Anne Bancroft,1931-09-17,2005-06-06
491,Anne Fletcher,1966-05-01,NA
492,Anne Fontaine,1959-07-15,NA
493,Anne Hathaway,1982-11-12,NA
494,Anne Heche,1969-05-25,NA
495,Anne Meara,1929-09-20,2015-05-23
496,Anne Parillaud,1960-05-06,NA
497,Anne-Marie Duff,1970-10-08,NA
498,Anneliese van der Pol,1984-09-23,NA
499,Annelyse Ahmad,NA,NA
500,Annet Mahendru,NA,NA
501,Annette Badland,1950-08-26,NA
502,Annie Golden,1951-10-19,NA
503,Annie Parisse,1975-07-31,NA
504,Anslem Richardson,NA,NA
505,Anthony 'Citric' Campos,NA,NA
506,Anthony Bell,NA,NA
507,Anthony Burrell,NA,NA
508,Anthony Chau-Sang Wong,1961-09-02,NA
509,Anthony Daniels,NA,NA
510,Anthony Edwards,1962-07-19,NA
511,Anthony Heald,1954-02-20,NA
512,Anthony Hemingway,NA,NA
513,Anthony Hickox,NA,NA
514,Anthony Hopkins,1937-12-31,NA
515,Anthony Johnson,NA,NA
516,Anthony L. Fernandez,NA,NA
517,Anthony LaPaglia,1959-01-31,NA
518,Anthony Mann,1906-06-30,1967-04-29
519,Anthony Minghella,1954-01-06,2008-03-18
520,Anthony O'Brien,NA,NA
521,Anthony Powell,1935-06-02,NA
522,Anthony Reynolds,1968-05-08,NA
523,Anthony Russo,1977-01-31,NA
524,Anthony Silverston,NA,NA
525,Anthony Simcoe,1969-06-07,NA
526,Anthony Vallone,NA,NA
527,Anthony Zerbe,1936-05-20,NA
528,Antoine Fuqua,1966-01-19,NA
529,Anton Corbijn,1955-05-20,NA
530,Antoni Corone,NA,NA
531,Antonia Bird,1951-05-27,2013-10-24
532,Antonia Thomas,1986-11-03,NA
533,Antonio Arrué,NA,NA
534,Antonio Banderas,1960-08-10,NA
535,Antonio de la Torre,1968-01-18,NA
536,Antonio Sabato Jr.,1972-02-29,NA
537,Antonio Simoncini,NA,NA
538,Antony Hoffman,NA,NA
539,Antony Starr,1975-10-25,NA
540,Anupam Kher,1955-03-07,NA
541,Anurag Basu,NA,NA
542,Anushka Shetty,1981-11-07,NA
543,Anwar Congo,NA,NA
544,April Winchell,1960-01-04,NA
545,Ara Celi,1967-06-19,NA
546,Aramis Knight,1999-10-03,NA
547,Arben Bajraktaraj,NA,NA
548,Arcelia Ramírez,1967-12-07,NA
549,Archie Kao,1969-12-14,NA
550,Archie Panjabi,1972-05-31,NA
551,Aretha Franklin,1942-03-25,NA
552,Ari Folman,1962-12-17,NA
553,Ari Gold,NA,NA
554,Ari Graynor,1983-04-27,NA
555,Ari Kirschenbaum,NA,NA
556,Ari Sandel,NA,NA
557,Aria Noelle Curzon,1987-12-08,NA
558,Ariana Neal,NA,NA
559,Ariana Richards,1979-09-11,NA
560,Ariane Labed,NA,NA
561,Ariane Schluter,1966-02-01,NA
562,Arie Posin,NA,NA
563,Ariel Gade,1997-05-01,NA
564,Ariel Hsing,NA,NA
565,Ariel Vromen,1973-02-14,NA
566,Aries Spears,1975-04-03,NA
567,Arik Ascherman,NA,NA
568,Arjun Rampal,1972-11-26,NA
569,Arjun Sablok,NA,NA
570,Arliss Howard,1954-10-18,NA
571,Arly Jover,1971-02-02,NA
572,Armando Riesco,1977-12-05,NA
573,Armin Mueller-Stahl,1930-12-17,NA
574,Armin Rohde,1955-04-04,NA
575,Armin Shimerman,1949-11-05,NA
576,Art Carney,1918-11-04,2003-11-09
577,Art Hindle,1948-07-21,NA
578,Art Malik,1952-11-13,NA
579,Arthur Agee,1972-11-22,NA
580,Arthur Hiller,1923-11-22,2016-08-17
581,Arthur O'Connell,1908-03-29,1981-05-18
582,Arturo Castro,1955-12-19,NA
583,Artyom Bogucharskiy,1989-08-14,NA
584,Aryana Engineer,2001-03-06,NA
585,Asger Leth,NA,NA
586,Asghar Farhadi,NA,NA
587,Ash Baron-Cohen,NA,NA
588,Ash Brannon,NA,NA
589,Ash Cook,NA,NA
590,Ashanti,1980-10-13,NA
591,Ashish R. Mohan,NA,NA
592,Ashleigh Gryzko,NA,NA
593,Ashley Ashida Dixon,NA,NA
594,Ashley Bell,1986-05-26,NA
595,Ashley Gerasimovich,NA,NA
596,Ashley Hinshaw,1988-12-11,NA
597,Ashley Laurence,1966-05-28,NA
598,Ashley Martin,NA,NA
599,Ashley Palmer,1978-11-13,NA
600,Ashley Rickards,1992-05-04,NA
601,Ashley Scott,1977-07-13,NA
602,Ashley Tramonte,NA,NA
603,Ashley Walters,1982-06-30,NA
604,Ashley Williams,1978-11-12,NA
605,Ashraf Barhom,NA,NA
606,Asin,1985-10-26,NA
607,Athina Rachel Tsangari,1966-04-02,NA
608,Ato Essandoh,1972-07-29,NA
609,Atom Egoyan,1960-07-19,NA
610,Atsuko Maeda,1991-07-10,NA
611,Atticus Shaffer,1998-06-19,NA
612,Aubrey Poo,NA,NA
613,Audrey Fleurot,1977-07-06,NA
614,Audrey Wells,1960-04-29,NA
615,August Diehl,1976-01-04,NA
616,Augustus Prew,1987-09-17,NA
617,Aunjanue Ellis,1969-02-21,NA
618,Austin Lyon,NA,NA
619,Austin Nichols,1980-04-24,NA
620,Austin O'Brien,1981-05-11,NA
621,Austin Pendleton,1940-03-27,NA
622,Ava Acres,NA,NA
623,Ava DuVernay,1972-08-24,NA
624,Ava Gardner,1922-12-24,1990-01-25
625,Avery Schreiber,1935-04-09,2002-01-07
626,Avi Nesher,NA,NA
627,Ayan Mukerji,NA,NA
628,Ayelet Zurer,1969-06-28,NA
629,Ayesha Omar,1981-10-12,NA
630,Ayla Kell,1990-10-07,NA
631,Ayush Mahesh Khedekar,NA,NA
632,Aziz Muradillayev,NA,NA
633,Azura Skye,1981-11-08,NA
634,B.J. Novak,1979-07-31,NA
635,Babak Najafi,1975-09-14,NA
636,Babar Ahmed,NA,NA
637,Bahare Seddiqi,NA,NA
638,Bai Ling,NA,NA
639,Bailee Madison,1999-10-15,NA
640,Balinese Tari Legong Dancers,NA,NA
641,Bálint Péntek,NA,NA
642,Baltasar Kormákur,1966-02-27,NA
643,Balthazar Getty,1975-01-22,NA
644,Bam Margera,1979-09-28,NA
645,Barack Obama,1961-08-04,NA
646,Barbara Bach,1947-08-27,NA
647,Barbara Billingsley,1915-12-22,2010-10-16
648,Barbara Carrera,1945-12-31,NA
649,Bárbara Goenaga,1983-07-20,NA
650,Barbara Hershey,1948-02-05,NA
651,Barbara Kowalcyk,NA,NA
652,Bárbara Mori,1978-02-02,NA
653,Barbet Schroeder,1941-08-26,NA
654,Barbie Castro,NA,NA
655,Barbra Streisand,1942-04-24,NA
656,Bari Hyman,NA,NA
657,Barnard Hughes,1915-07-16,2006-07-11
658,Barney Clark,1973-12-13,NA
659,Barney Frank,1940-03-31,NA
660,Barret Oliver,1973-08-24,NA
661,Barrett Esposito,NA,NA
662,Barry Bostwick,1945-02-24,NA
663,Barry Cook,NA,NA
664,Barry Corbin,1940-10-16,NA
665,Barry Dennen,1938-02-22,NA
666,Barry Fitzgerald,1888-03-10,1961-01-14
667,Barry Levinson,1942-04-06,NA
668,Barry Lynch,1959-08-28,NA
669,Barry Shabaka Henley,1954-09-15,NA
670,Barry Skolnick,1966-10-08,NA
671,Barry Sonnenfeld,1953-04-01,NA
672,Barry W. Blaustein,NA,NA
673,Barry Watson,1974-04-23,NA
674,Bart Freundlich,1970-01-17,NA
675,Bart Shatto,1965-02-23,NA
676,Bart the Bear,NA,NA
677,Bashar Rahal,1974-10-20,NA
678,Basher Savage,NA,NA
679,Basil Rathbone,1892-06-13,1967-07-21
680,Baz Luhrmann,1962-09-17,NA
681,Béatrice Bonifassi,NA,NA
682,Béatrice Dalle,1964-12-19,NA
683,Beatrice Ntuba,NA,NA
684,Beatrice Straight,1914-08-02,2001-04-07
685,Beau Bridges,1941-12-09,NA
686,Beau Garrett,1982-12-28,NA
687,Beau Knapp,NA,NA
688,Beau Mirchoff,1989-01-13,NA
689,Bebe Neuwirth,1958-12-31,NA
690,Becky Smith,NA,NA
691,Beeban Kidron,1961-05-02,NA
692,Behrouz Vossoughi,NA,NA
693,Belén Rueda,1965-03-16,NA
694,Bella Heathcote,1987-05-27,NA
695,Bella Thorne,1997-10-08,NA
696,Ben Affleck,1972-08-15,NA
697,Ben Browder,1962-12-11,NA
